school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,aproved
MS,F,18,U,T,father,1,2,1,no,yes,5,9,9,8,8,0,0
MS,M,15,U,T,mother,2,1,0,no,no,4,0,10,9,11,1,1
MS,F,16,R,T,father,3,2,0,no,yes,2,1,14,13,14,1,1
MS,M,15,U,T,mother,3,1,0,no,no,4,1,13,12,13,1,1
MS,M,16,U,T,father,1,2,0,no,no,3,0,13,12,13,1,1
MS,F,15,R,T,mother,1,2,0,no,yes,1,4,13,12,12,1,1
MS,F,16,R,T,mother,2,2,1,no,no,5,2,12,11,12,1,1
MS,F,16,R,T,father,3,1,0,no,no,4,0,14,14,16,0,1
MS,M,16,U,T,mother,2,1,0,no,yes,4,4,10,8,10,1,1
MS,M,15,R,T,father,3,1,0,no,yes,3,2,10,11,11,1,1
MS,F,15,U,T,mother,2,3,0,no,no,4,0,12,13,14,1,1
MS,F,16,R,T,mother,1,1,0,no,yes,5,2,10,8,8,0,0
MS,M,15,U,T,father,2,1,0,no,yes,3,11,12,10,11,1,1
MS,F,16,R,T,father,2,2,3,no,no,1,0,7,7,8,0,0
MS,F,17,U,T,mother,1,1,0,no,no,5,4,9,9,10,1,1
MS,F,19,U,T,other,1,1,1,no,yes,2,0,9,9,10,1,1
MS,F,17,R,T,mother,3,1,0,no,no,3,2,9,10,11,1,1
MS,F,15,R,T,mother,2,1,0,no,no,4,0,9,10,9,0,0
MS,F,16,R,T,father,3,2,0,no,yes,1,1,9,10,11,1,1
MS,F,16,U,A,mother,1,1,0,no,no,1,6,7,7,8,0,0
MS,F,17,R,T,mother,2,2,0,no,yes,4,0,11,10,11,1,1
MS,F,16,U,T,father,1,1,1,yes,yes,3,1,9,10,10,1,1
MS,F,18,R,A,other,2,3,2,no,no,2,6,7,9,10,1,1
MS,F,19,U,T,mother,1,3,1,no,no,3,6,7,9,9,0,0
MS,M,18,R,T,mother,2,1,1,no,yes,4,0,8,9,10,1,1
MS,F,18,R,T,mother,2,1,1,no,yes,2,4,9,11,10,1,1
MS,F,19,U,T,other,2,2,1,no,yes,1,12,7,8,9,0,0
MS,F,16,R,A,mother,1,2,0,no,no,3,2,8,10,10,1,1
MS,F,17,U,T,father,2,1,0,no,no,5,5,9,9,10,1,1
MS,F,16,R,T,mother,1,2,0,no,yes,3,0,8,9,9,0,0
MS,F,16,U,T,mother,1,1,0,no,yes,4,0,14,13,13,1,1
MS,F,16,R,T,mother,1,1,0,no,yes,4,2,14,14,14,1,1
MS,M,17,U,T,mother,2,4,1,yes,no,5,0,10,11,10,1,1
MS,F,16,U,T,mother,1,2,0,no,yes,1,0,14,13,14,1,1
MS,F,16,U,T,mother,1,1,0,yes,no,5,0,17,16,16,0,1
MS,M,17,U,T,father,1,1,1,no,yes,1,12,6,7,7,0,0
MS,M,16,U,T,father,1,1,0,no,yes,5,8,14,12,13,1,1
MS,M,17,R,T,mother,3,4,1,no,no,3,2,10,8,9,0,0
MS,F,16,U,T,other,1,4,0,no,yes,5,0,14,14,14,1,1
MS,F,19,U,T,mother,1,3,0,no,yes,1,0,12,13,13,1,1
MS,F,17,R,T,mother,2,1,0,no,yes,5,0,11,11,11,1,1
MS,F,20,U,T,mother,2,2,1,no,yes,3,8,11,9,10,1,1
MS,F,17,U,T,father,1,3,0,no,no,3,0,11,11,10,1,1
MS,M,17,R,T,mother,3,1,1,no,yes,5,0,10,9,9,0,0
MS,F,16,R,T,father,3,2,0,no,no,1,0,16,17,18,0,1
MS,F,17,R,T,mother,2,2,0,no,no,1,0,15,17,17,0,1
MS,F,17,U,A,mother,2,2,0,no,yes,4,1,11,9,10,1,1
MS,F,18,R,T,mother,1,2,1,no,yes,5,9,7,7,7,0,0
MS,F,16,U,T,mother,1,1,0,no,yes,1,0,8,6,8,0,0
MS,F,16,U,T,mother,1,1,0,no,yes,3,2,7,6,7,0,0
MS,F,18,U,T,mother,2,2,0,no,no,3,8,9,8,10,1,1
MS,F,16,R,T,father,1,2,0,no,yes,2,0,14,16,16,0,1
MS,F,16,R,T,mother,2,1,0,no,yes,2,0,14,14,15,0,1
MS,F,18,U,A,father,1,2,1,no,yes,1,8,8,5,8,0,0
MS,M,16,R,T,mother,2,2,0,no,yes,2,0,8,7,0,0,0
MS,F,16,U,T,mother,3,2,0,no,yes,5,6,6,8,8,0,0
MS,F,16,R,T,mother,2,2,0,no,yes,2,0,8,10,10,1,1
MS,F,16,U,T,mother,1,2,0,no,yes,3,4,8,8,8,0,0
MS,M,18,U,T,mother,1,4,0,no,yes,5,2,5,6,6,0,0
MS,F,16,R,T,mother,3,2,0,no,no,2,2,7,9,8,0,0
MS,M,17,U,T,mother,1,3,0,no,yes,5,0,15,14,16,0,1
MS,F,17,R,T,mother,1,1,0,no,yes,5,1,13,14,14,1,1
MS,M,16,U,T,mother,4,3,0,no,no,3,0,10,9,10,1,1
MS,F,17,R,T,mother,1,1,0,yes,yes,5,5,9,9,9,0,0
MS,F,16,U,T,father,2,1,0,no,no,5,1,11,11,11,1,1
MS,M,17,U,T,mother,1,1,0,no,yes,3,8,7,10,9,0,0
MS,M,17,U,T,mother,3,2,0,no,yes,1,0,10,10,10,1,1
MS,M,16,U,T,mother,2,2,0,no,yes,5,2,9,7,8,0,0
MS,F,16,U,T,mother,1,2,0,no,yes,3,0,14,15,16,0,1
MS,M,16,U,T,father,1,1,0,no,yes,5,0,11,12,12,1,1
MS,M,15,R,T,mother,3,2,0,no,no,5,11,9,11,10,1,1
MS,M,15,U,A,mother,3,4,0,no,no,5,8,13,14,14,1,1
MS,M,15,U,A,mother,1,1,0,no,yes,5,11,12,13,12,1,1
MS,F,16,R,T,mother,1,3,0,no,no,5,2,11,11,11,1,1
MS,F,16,U,T,mother,2,2,0,no,yes,1,8,9,10,10,1,1
MS,F,17,U,T,mother,2,1,0,no,no,1,5,9,11,11,1,1
MS,F,17,R,T,mother,2,2,0,yes,no,5,0,11,9,11,1,1
MS,F,16,U,T,mother,2,3,0,no,yes,5,1,10,11,12,1,1
MS,M,17,R,T,father,3,1,3,no,yes,5,2,9,9,8,0,0
MS,M,17,R,T,father,2,1,0,no,no,5,2,12,11,12,1,1
MS,M,17,U,T,mother,1,2,1,no,yes,5,8,8,9,8,0,0
MS,F,17,U,T,father,1,2,0,no,yes,5,0,13,15,16,0,1
MS,M,16,R,T,father,1,1,0,no,yes,2,0,10,11,11,1,1
MS,F,17,U,A,mother,1,2,0,no,yes,3,2,11,10,11,1,1
MS,F,17,R,T,mother,2,2,0,no,yes,5,0,17,18,18,0,1
MS,M,16,U,A,father,2,2,0,no,yes,5,0,12,13,13,1,1
MS,M,17,U,T,father,2,2,0,yes,yes,1,0,13,14,13,1,1
MS,M,19,U,T,mother,1,2,2,no,yes,4,2,9,9,10,1,1
MS,M,17,U,A,mother,1,1,0,no,no,5,4,11,11,12,1,1
MS,F,17,R,T,father,2,1,0,no,yes,4,3,10,11,10,1,1
MS,F,16,R,T,father,1,3,0,no,yes,3,5,13,14,13,1,1
MS,M,16,R,T,mother,1,1,0,no,no,5,4,9,10,11,1,1
MS,F,17,R,T,mother,2,2,3,no,yes,5,2,7,9,10,1,1
MS,M,17,R,T,mother,2,1,0,no,no,5,0,8,13,10,1,1
MS,M,18,R,T,other,3,1,1,no,no,4,0,12,12,13,1,1
MS,M,17,R,T,mother,2,1,0,no,yes,2,0,10,9,10,1,1
MS,M,18,U,T,mother,2,2,0,no,no,5,6,10,9,10,1,1
MS,F,16,R,T,father,1,2,0,no,no,1,0,11,13,12,1,1
MS,M,17,U,T,mother,1,1,1,no,no,5,0,7,0,0,0,0
MS,M,16,R,T,father,2,1,0,no,yes,5,2,11,9,10,1,1
MS,M,16,R,T,mother,2,1,0,no,yes,5,0,10,10,9,0,0
MS,M,18,R,T,other,2,1,1,no,yes,5,2,9,7,9,0,0
MS,M,18,R,T,mother,1,1,1,no,yes,5,0,4,0,0,0,0
MS,M,19,U,T,mother,2,1,3,no,no,3,4,6,11,9,0,0
MS,M,18,U,T,mother,1,2,2,no,yes,3,9,4,8,8,0,0
MS,M,16,R,T,mother,2,1,0,no,yes,4,6,7,8,8,0,0
MS,M,19,U,T,other,2,1,3,no,yes,5,4,8,9,9,0,0
MS,F,16,U,A,mother,2,2,2,no,no,1,8,5,5,7,0,0
MS,F,17,U,T,mother,1,1,0,no,no,5,9,7,9,10,1,1
MS,M,20,R,T,other,2,1,1,no,yes,4,12,8,11,10,1,1
MS,F,18,R,A,mother,1,1,0,no,yes,2,8,10,11,10,1,1
MS,M,18,R,T,mother,2,1,0,no,yes,5,8,9,10,11,1,1
MS,M,19,R,T,other,3,2,1,no,yes,2,8,10,9,11,1,1
MS,M,17,U,T,mother,2,2,1,no,yes,3,4,8,9,10,1,1
MS,M,18,U,T,mother,1,1,0,no,yes,3,0,9,10,9,0,0
MS,M,19,R,T,other,3,1,1,no,yes,5,4,8,9,10,1,1
MS,F,18,U,A,mother,2,2,2,no,no,5,2,6,8,8,0,0
MS,F,19,U,A,mother,1,1,0,no,no,5,0,6,8,7,0,0
MS,F,18,R,T,mother,2,1,1,no,yes,3,0,8,6,0,0,0
MS,F,17,R,T,mother,2,1,0,no,yes,5,0,10,11,11,1,1
MS,F,17,R,A,other,2,3,0,yes,no,3,5,8,7,8,0,0
MS,F,17,U,T,mother,1,2,0,no,yes,5,0,8,8,0,0,0
MS,F,18,R,T,mother,1,2,1,no,yes,4,3,7,6,8,0,0
MS,F,17,U,T,mother,1,1,0,no,no,5,0,8,10,9,0,0
MS,F,17,U,T,father,1,1,0,no,yes,3,0,7,10,10,1,1
MS,F,18,U,T,mother,3,2,2,no,no,5,3,7,8,7,0,0
MS,F,18,U,T,father,2,2,0,no,yes,1,2,12,13,14,1,1
MS,F,17,U,T,mother,2,1,0,no,yes,4,0,11,12,13,1,1
MS,F,18,U,A,mother,2,2,0,no,yes,4,0,12,13,14,1,1
MS,F,18,U,T,mother,2,2,0,no,yes,1,0,18,18,18,0,1
MS,M,18,U,T,mother,1,1,0,no,yes,5,3,17,17,17,0,1
MS,F,17,U,T,mother,2,2,0,no,yes,4,0,17,18,18,0,1
MS,F,18,R,T,mother,3,2,1,no,no,4,0,9,0,0,0,0
MS,M,18,U,T,mother,2,1,0,no,no,1,8,10,11,11,1,1
MS,M,18,R,T,mother,3,1,0,yes,yes,1,5,12,13,14,1,1
MS,M,17,R,T,father,3,1,0,no,no,4,4,12,13,14,1,1
MS,F,18,U,T,mother,2,2,0,no,yes,2,4,8,8,10,1,1
MS,F,18,U,T,father,2,3,0,no,yes,3,0,11,12,13,1,1
MS,F,18,R,A,mother,1,2,0,no,yes,5,0,5,0,0,0,0
MS,F,18,U,T,mother,3,2,1,no,no,2,2,9,10,10,1,1
MS,F,19,U,T,father,2,1,1,no,no,2,0,5,0,0,0,0
MS,F,17,U,T,father,2,4,0,no,yes,5,0,18,18,18,0,1
MS,F,17,R,A,mother,2,2,0,no,yes,2,5,11,11,12,1,1
MS,F,18,U,A,mother,1,2,0,no,no,3,2,8,10,11,1,1
MS,F,18,U,T,father,2,2,0,no,no,4,0,11,11,12,1,1
MS,F,19,R,A,other,2,2,3,no,no,1,0,8,0,0,0,0
MS,F,18,R,T,mother,2,3,0,no,yes,4,5,14,14,15,0,1
MS,M,17,R,T,mother,2,2,1,yes,yes,2,4,10,11,11,1,1
MS,F,18,U,T,father,1,2,0,no,no,5,0,10,10,10,1,1
MS,F,17,R,T,father,2,2,0,yes,yes,5,2,12,12,12,1,1
MS,F,17,U,A,mother,2,2,0,no,no,5,0,15,14,15,0,1
MS,M,18,U,T,father,2,1,0,no,yes,3,2,14,13,14,1,1
MS,F,18,U,T,father,2,3,0,no,yes,4,0,19,17,18,0,1
MS,F,18,R,A,mother,3,2,0,no,no,5,0,16,15,15,0,1
MS,F,18,U,T,mother,2,2,0,no,yes,3,6,13,12,13,1,1
MS,F,17,U,T,mother,1,2,0,no,yes,1,4,15,14,15,0,1
MS,F,17,R,T,father,2,2,0,no,no,3,0,13,13,13,1,1
MS,M,18,R,T,mother,2,2,0,yes,no,3,0,8,10,9,0,0
MS,M,18,U,T,mother,2,3,0,no,yes,5,0,15,16,16,0,1
MS,F,17,R,T,mother,3,1,1,no,yes,1,0,8,8,9,0,0
MS,F,18,U,T,father,2,1,0,no,yes,4,0,10,10,10,1,1
MS,F,18,R,T,father,3,2,0,no,yes,5,0,7,5,0,0,0
MS,M,18,R,T,father,3,1,0,no,yes,3,3,9,10,10,1,1
MS,F,17,U,T,mother,1,3,0,no,no,3,8,10,11,12,1,1
MS,F,17,R,T,mother,1,1,0,no,yes,1,4,7,8,9,0,0
MS,F,18,R,T,mother,2,3,0,no,yes,1,0,15,17,17,0,1
MS,F,18,R,T,mother,4,3,0,no,yes,4,4,10,11,12,1,1
MS,F,19,R,T,other,2,2,1,no,yes,3,4,7,8,9,0,0
MS,F,18,R,T,mother,1,2,0,no,yes,2,1,13,14,14,1,1
MS,F,18,U,T,mother,1,2,0,no,yes,1,1,16,16,16,0,1
MS,F,17,R,T,mother,1,2,0,no,yes,1,10,8,9,9,0,0
MS,M,18,U,T,father,1,2,0,no,yes,2,4,17,18,19,0,1
MS,M,18,R,T,mother,2,1,0,no,yes,5,0,7,7,0,0,0
MS,M,17,U,T,father,2,2,0,no,yes,3,4,14,15,16,0,1
MS,M,19,R,T,mother,2,1,1,no,no,5,0,5,8,0,0,0
MS,M,18,R,T,father,2,1,1,yes,no,3,0,7,7,0,0,0
MS,F,18,R,T,mother,2,3,0,no,no,4,0,14,17,15,0,1
MS,F,17,U,T,mother,2,2,0,no,yes,1,0,6,9,11,1,1
MS,F,18,R,T,mother,3,1,0,no,yes,5,4,7,9,10,1,1
MS,F,19,R,T,mother,1,3,1,no,yes,5,4,10,11,10,1,1
MS,F,18,U,T,mother,1,2,0,no,yes,1,4,15,15,16,0,1
MS,F,18,U,T,mother,2,2,0,no,no,5,6,11,12,9,0,0
MS,M,17,U,T,mother,2,1,0,no,yes,2,6,10,10,10,1,1
MS,M,18,R,T,mother,3,1,0,no,yes,5,4,10,11,11,1,1
